 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date: ***. 0.    Time: ***:**: 0
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  29   -56.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9459E-07  0.0000E+00      -1  -0.892E-09   20.00
  30   -58.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9461E-07  0.0000E+00      -1  -0.892E-09   20.00
  31   -60.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  32   -62.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  33   -64.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  34   -66.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  35   -68.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  36   -70.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  37   -72.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  38   -74.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  39   -76.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  40   -78.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  41   -80.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  42   -82.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  43   -84.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  44   -86.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  45   -88.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  46   -90.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  47   -92.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  48   -94.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  49   -96.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  50   -98.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  51  -100.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  52  -102.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  53  -104.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  54  -106.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  55  -108.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  56  -110.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  57  -112.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  58  -114.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  59  -116.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  60  -118.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  61  -120.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  62  -122.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  63  -124.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  64  -126.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  65  -128.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  66  -130.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  67  -132.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  68  -134.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  69  -136.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  70  -138.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  71  -140.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  72  -142.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  73  -144.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  74  -146.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  75  -148.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  76  -150.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  77  -152.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  78  -154.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  79  -156.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  80  -158.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  81  -160.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  82  -162.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  83  -164.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  84  -166.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  85  -168.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  86  -170.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  87  -172.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  88  -174.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  89  -176.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  90  -178.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  91  -180.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
